Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,Mortality_rate
"(-inf, 49.10)",2660,0.12116794971074568,2289,371,0.1394736842105263,0.4334877719869079,0.01987421182575439,0.0024650063918454698,Water_前7天变化百分比,0.0010288924217936553
"[49.10, 61.89)",1711,0.07793923381770146,1464,247,0.14436002337814144,0.3933588725350561,0.010664108718803907,0.001324485416069796,Water_前7天变化百分比,0.0009884458981299473
"[61.89, 140.00)",8413,0.38322780485582836,6927,1486,0.1766314037798645,0.1531583873866771,0.00857865609663791,0.0010712851473516725,Water_前7天变化百分比,0.0010664905317880346
"[140.00, 164.34)",1299,0.059171867170773926,1056,243,0.18706697459584296,0.08300153556743473,0.0003975239537353406,4.967623535839685e-05,Water_前7天变化百分比,0.0015395549252191277
"[164.34, inf)",1680,0.07652712613310254,873,807,0.48035714285714287,-1.30756859778857,0.17531280177450642,0.02047529994378672,Water_前7天变化百分比,0.004008176414143599
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Water_前7天变化百分比,
Missing,6190,0.28196601831184803,4953,1237,0.1998384491114701,0.0011238748375261842,3.560296993009758e-07,4.450371005478807e-08,Water_前7天变化百分比,0.0011961299675520673
,21953,1.0,17562,4391,0.2000182207443174,,0.21482765839913728,0.02538579763812211,Water_前7天变化百分比,
"(-inf, 28.25)",7156,0.325969115838382,5804,1352,0.18893236444941308,0.07078187204294539,0.0015985200525947632,0.00019977330502674376,Lowest_Temn_前7天,0.0011041671290744684
"[28.25, 28.75)",1336,0.060857286020133926,1084,252,0.18862275449101795,0.07280360912994488,0.00031553528692879754,3.943320248461519e-05,Lowest_Temn_前7天,0.001068348151512378
"[28.75, 29.43)",1722,0.0784403042864301,1448,274,0.15911730545876887,0.278629981199368,0.005586637433486308,0.0006960794701694325,Lowest_Temn_前7天,0.0009946499805530337
"[29.43, 30.36)",1492,0.06796337630392202,1287,205,0.13739946380697052,0.4508787430994947,0.011991941284693216,0.0014864231383362927,Lowest_Temn_前7天,0.0009013244704999982
"[30.36, 31.85)",1864,0.08490866851910901,1694,170,0.09120171673819742,0.9128689528035145,0.05271152503121684,0.006369285671551138,Lowest_Temn_前7天,0.0008893353723354254
"[31.85, 32.75)",1163,0.0529768141028561,862,301,0.2588134135855546,-0.33403547944340617,0.00650235384178664,0.0008090363811922826,Lowest_Temn_前7天,0.002377221464603402
"[32.75, inf)",1104,0.05028925431603881,484,620,0.5615942028985508,-1.6338150566807292,0.18566413111314486,0.020928593725750667,Lowest_Temn_前7天,0.004975065942033828
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Lowest_Temn_前7天,
Missing,6116,0.27859518061312805,4899,1217,0.19898626553302812,0.0064618032928240865,1.1610168587963106e-05,1.4512685485818335e-06,Lowest_Temn_前7天,0.0011832788359097937
,21953,1.0,17562,4391,0.2000182207443174,,0.2643822542124394,0.030530076163059753,Lowest_Temn_前7天,
