批次,栋舍 House,"进雏只数
Bird placed No.","公母
Gender","鸡舍面积m2 
House Area","出栏密度
Density",,"挂鸡只数
Hang No.","挂鸡总重（kg）
Total hung weight","均重（kg）
 Average weight","小毛鸡数量
Small broilers No.","小毛鸡总重（kg）
 Total weight of small broilers","PP死淘鸡只
PP cull and dead No.","死淘总重（kg）
Dead and Cull Weight","PP不合格淘汰鸡
PP Cull","PP淘汰鸡总重
PP Cull bird Weight",,日龄Age,"出栏造成死亡只数 
Dead while catching","出鸡只数
Catching No.","成活率
Livability (%)","出鸡总重（kg）
Total Catched weight","单位面积产肉率
Density, Yield(KG)/m2","均重（kg）
Average weight","累计耗料（kg）
Feed cons. Cum.",料肉比 FCR,Adjust FCR (base 2.45KG)              ,欧洲指数 EEF
G06-66,H1,"39,400",L3,2502,15.07,,"37,661","84,360",2.24,27,25.65,49,108,4,158.62,,35,0,"37,710",95.71%,"84,468",33.76,2.24,"129,240",1.53,1.58,400.33
G06-66,H2,"39,400",L3,2502,14.99,,"37,396","87,041",2.33,27,25.65,98,218,4,158.62,,35,0,"37,494",95.16%,"87,259",34.88,2.33,"132,570",1.52,1.55,416.5
G06-66,H3,"39,100",L3,2502,13.64,,"33,918","73,270",2.16,27,25.65,210,468,4,158.6,,35,0,"34,128",87.28%,"73,738",29.47,2.16,"129,030",1.75,1.82,307.93
G06-66,H4,"37,300",L6,2502,14.34,,"35,805","76,633",2.14,27,25.65,78,172,4,158.6,,35,0,"35,883",96.20%,"76,805",30.7,2.14,"121,540",1.58,1.66,371.78
G06-66,H5,"39,800",L4,2502,14.96,,"37,350","86,404",2.31,42,39.75,71,157,3,132.64,,35,0,"37,421",94.02%,"86,561",34.6,2.31,"134,210",1.55,1.58,400.78
G06-66,H6,"38,700",L4,2502,14.17,,"35,385","79,062",2.23,42,39.74,79,178,3,132.64,,35,0,"35,464",91.64%,"79,240",31.67,2.23,"124,690",1.57,1.63,371.77
G06-66,H7,"40,500",L1&L7,2502,14.88,,"37,147","76,712",2.07,34,32.3,95,200,3,127.55,,35,0,"37,242",91.96%,"76,911",30.74,2.07,"122,900",1.6,1.69,339.55
G06-66,H8,"40,300",L7,2502,15.29,,"38,202","81,278",2.13,34,32.3,48,101,3,127.54,,35,0,"38,250",94.91%,"81,379",32.53,2.13,"126,050",1.55,1.63,372.48
G06-66,H9,"40,000",L7,2502,15.29,,"38,174","86,175",2.26,51,48.14,84,183,4,125.64,,36,0,"38,258",95.65%,"86,358",34.52,2.26,"138,020",1.6,1.65,375.23
G06-66,H10,"40,000",L7,2502,15.39,,"38,418","81,521",2.12,85,80.43,94,204,7,253.16,,35,0,"38,512",96.28%,"81,725",32.66,2.12,"129,420",1.58,1.67,368.62
G06-66,H11,"35,300",L4,2502,12.47,,"31,165","66,535",2.13,50,48.13,47,102,3,125.62,,33,0,"31,212",88.42%,"66,637",26.63,2.13,"101,790",1.53,1.61,374.49
G06-66,H12,"35,300",L4,2502,12.63,,"31,552","70,227",2.23,0,0,56,123,4,134.46,,34,0,"31,608",89.54%,"70,350",28.12,2.23,"106,440",1.51,1.57,387.41
G06-66,H13,"37,500",L6,2502,14.09,,"35,198","76,389",2.17,0,0,46,101,4,134.45,,35,0,"35,244",93.98%,"76,490",30.57,2.17,"118,090",1.54,1.61,377.48
G06-66,H14,"37,900",L6,2502,14.61,,"36,494","83,576",2.29,42,39.74,64,144,3,132.64,,36,0,"36,558",96.46%,"83,720",33.46,2.29,"131,310",1.57,1.61,391.22
G06-66,H15,"37,800",L6,2502,14.43,,"36,016","80,203",2.23,42,39.74,83,187,3,132.63,,36,0,"36,099",95.50%,"80,390",32.13,2.23,"128,860",1.6,1.66,368.55
G06-66,H16,"40,600",L5,2502,14.88,,"37,127","84,890",2.29,76,72.04,106,234,5,260.17,,35,0,"37,233",91.71%,"85,124",34.02,2.29,"134,920",1.58,1.63,377.95
G06-66,H17,"40,100",L1,2502,15.22,,"38,028","79,056",2.08,41,39.74,52,115,2,132.63,,35,0,"38,080",94.96%,"79,171",31.64,2.08,"123,600",1.56,1.65,361.33
G06-66,H18,"40,100",L1,2502,15.41,,"38,465","80,934",2.1,34,32.3,89,197,3,127.54,,36,0,"38,554",96.14%,"81,131",32.43,2.1,"121,250",1.49,1.58,376.05
G06-66,H19,"39,300",L3,2502,14.98,,"37,398","84,269",2.25,34,32.3,87,192,3,127.53,,35,0,"37,485",95.38%,"84,460",33.76,2.25,"134,360",1.59,1.64,385.99
G06-66,H20,"39,200",L3,2502,14.69,,"36,671","81,462",2.22,34,32.3,73,161,2,127.53,,35,0,"36,744",93.73%,"81,623",32.62,2.22,"123,680",1.52,1.57,392.62
G09-67,H2,"17,300",L7,1120,14.27,,"15,961","38,245",2.4,10,8.83,23,55,4,102.26,,36,0,"15,984",92.39%,"38,300",34.2,2.4,"60,220",1.57,1.59,391.12
G09-67,H3,"22,200",L7,"1,437",14.5,,"20,800","49,673",2.39,10,8.82,32,77,4,102.26,,36,0,"20,832",93.84%,"49,750",34.63,2.39,"77,790",1.56,1.58,398.11
G09-67,H4,"29,400",L7,1920,14.54,,"27,856","62,512",2.24,9,8.82,56,128,4,102.25,,36,0,"27,912",94.94%,"62,640",32.63,2.24,"98,350",1.57,1.62,376.95
G09-67,H5,"29,400",L7,1920,14.2,,"27,218","65,589",2.41,9,8.82,38,91,4,102.25,,36,0,"27,256",92.71%,"65,680",34.21,2.41,"102,100",1.55,1.56,399.2
G09-67,H6,"29,400",L7,"1,920",14.37,,"27,565","67,274",2.44,9,8.82,29,66,4,102,,36,0,"27,594",93.86%,"67,340",35.07,2.44,"102,170",1.52,1.52,419.35
G09-67,H7,"29,900",L3,1920,14.58,,"27,960","68,013",2.43,20,18.53,40,97,2,79.63,,36,0,"28,000",93.65%,"68,110",35.47,2.43,"105,980",1.56,1.56,406.65
G09-67,H8,"26,400",L4,1744,14.14,,"24,632","61,530",2.5,20,18.53,32,77,2,79.62,,36,0,"24,664",93.42%,"61,607",35.33,2.5,"96,120",1.56,1.55,415.47
G09-67,H9,"26,400",L4,1744,14.24,,"24,819","60,716",2.45,29,27.35,21,50,5,181.86,,35,0,"24,840",94.09%,"60,766",34.84,2.45,"93,630",1.54,1.54,426.81
G09-67,H10,"26,400",L4,1744,13.98,,"24,356","62,526",2.57,19,18.52,18,44,2,79.62,,36,0,"24,374",92.33%,"62,570",35.88,2.57,"96,190",1.54,1.51,428.25
