GrowthDay,Common_Weight,Common_NumOfWeights,Common_StandardDev,Common_Uniformity,Common_CV,Common_DailyGain,Scale1Female1_Weight,Scale1Female1_NumOfWeights,Scale1Female1_StandardDev,Scale1Female1_Uniformity,Scale1Female1_CV,Scale1Female1_DailyGain,Scale2Male1_Weight,Scale2Male1_NumOfWeights,Scale2Male1_StandardDev,Scale2Male1_Uniformity,Scale2Male1_CV,Scale2Male1_DailyGain,
-1       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
0        ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
1        ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
2        ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
3        ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
4        ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
5        ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
6        ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
7        ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
8        ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
9        ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
10       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
11       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
12       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
13       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
14       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
15       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
16       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
17       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
18       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
19       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
20       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
21       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
22       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
23       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
24       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
25       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
26       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
27       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
28       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
29       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
30       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
31       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
32       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
33       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
34       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
35       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
36       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
37       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
38       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
39       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
40       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
41       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
42       ,0.000        ,0                  ,0.000             ,0                ,0        ,0.000           ,0.000               ,0                         ,0.000                    ,0                       ,0               ,0.000                  ,0.000             ,0                       ,0.000                  ,0                     ,0             ,0.000                ,
